Catchment ID,River,Receiving Sea,Continent,Catchment Area [km²], MMPW Generation per capita [kg d-1],Population,MMPW generated in the catchment [tons y-1],Microplastic load Model 1 [tons y-1] ,Microplastic load Model 2 [tons y-1] ,Macroplastic load  [tons y-1] 
330,Chang Jiang (Yangtze River) , East China Sea (Yellow Sea),Asia,1907295,0.092,503258473,16883704,1469481,85440,69282
348,Indus,Arabian Sea,Asia,854106,0.069,191277131,4809288,164332,12378,11977
301,Huang He (Yellow River),Yellow Sea,Asia,761437,0.092,122167489,4098569,124249,9678,9561
292,Hai He,Yellow Sea,Asia,211489,0.092,102782394,3448223,91858,7434,7515
628,Nile,Mediterranean,Africa,2851708,0.049,182955620,3293385,84792,6919,7043
358,"Meghna, Bramaputra, Ganges",Bay of Bengal,Asia,1571571,0.013,620596218,3017170,72845,6039,6230
368,Zhujiang (Pearl River),South China Sea,Asia,388705,0.092,74999426,2515374,52958,4577,4823
275,Amur,Sea of Okhotsk,Asia,2004785,0.089,64344272,2086763,38267,3429,3708
678,Niger,Gulf of Guinea,Africa,2090967,0.059,92689954,1989695,35196,3185,3469
437,Mekong,South China Sea,Asia,771941,0.086,61740094,1931483,33431,3044,3330
1108,Shatt el Arab/Karun,Persian Gulf,Asia,820868,0.07,61232244,1571737,23327,2220,2500
697,Congo,Atlantic,Africa,3661637,0.035,89537762,1144769,13446,1363,1606
349,Luni,Arabian Sea,Asia,318613,0.036,65281515,869632,8341,893,1090
413,Chao Phraya,Gulf of Thailand,Asia,143833,0.108,17861106,704770,5782,648,813
659,Ogun,Gulf of Guinea,Africa,48189,0.085,21976178,680988,5445,615,775
399,Irrawaddy,Bay of Bengal,Asia,375476,0.062,28593507,642012,4914,562,713
760,Limpopo,Indian,Africa,406177,0.115,14934099,628087,4729,544,692
384,Song Hong,South China Sea,Asia,138517,0.091,17676842,585055,4179,488,627
1432,Paraná,Atlantic,South America,2588032,0.018,81631184,548225,3729,441,573
838,Danube,Black Sea,Europe,784988,0.019,79590473,546007,3704,438,569
767,Orange,Atlantic,Africa,883439,0.113,13131771,542204,3658,433,564
835,Dnepr,Black Sea,Europe,505091,0.043,30127100,477074,2929,356,471
736,Zambezi,Indian,Africa,1348383,0.034,38418115,475943,2917,355,470
286,Liaohe,Yellow Sea,Asia,27863,0.092,13435495,450744,2652,326,435
332,Qiantangjiang,East China Sea,Asia,43481,0.092,12183456,408740,2233,281,380
1291,Magdalena,Caribbean,South America,259618,0.034,32086273,394390,2097,265,362
433,Sai Gon,South China Sea,Asia,29642,0.09,10856019,355868,1753,227,313
448,Mahaweli Ganga,Indian,Asia,10118,0.299,3096486,338207,1604,209,292
409,Pasig,South China Sea,Oceania,4020,0.062,14558400,328629,1526,201,280
459,Kelani Ganga,Indian,Asia,2315,0.299,2995987,327230,1515,199,278
676,Cross,Gulf of Guinea,Africa,52471,0.08,10696166,314127,1411,187,263
1340,Amazon,Atlantic,South America,5888264,0.029,29447138,309437,1374,183,258
335,Minjiang,East China Sea,Asia,60785,0.092,9141579,306689,1353,180,254
304,Xiaoqinghe,Yellow Sea,Asia,10850,0.092,8197772,275025,1119,153,218
402,Krishna,Bay of Bengal,Asia,257908,0.009,81072565,259363,1011,139,201
326,Majiahe,Yellow Sea,Asia,12130,0.092,7686314,257866,1001,138,199
297,Tuhaihe,Yellow Sea,Asia,14368,0.092,7314781,245402,917,128,186
414,"Khlong Phum Duang, Bangpakhlong",Gulf of Thailand,Asia,21922,0.108,6110127,241121,890,125,181
665,Volta,Gulf of Guinea,Africa,410993,0.027,24357445,235605,855,120,175
291,Luanhe,Yellow Sea,Asia,45787,0.092,7008467,235125,852,120,175
398,Salween,Bay of Bengal,Asia,264698,0.082,7713627,229982,819,116,170
1457,"Ob', Shchuch'ya",Kara Sea,Asia,2463489,0.024,25562961,226198,796,113,166
355,Hanjiang,South China Sea,Asia,29334,0.092,6679563,224091,783,111,163
397,Godavari,Bay of Bengal,Asia,309453,0.009,68527934,219231,753,108,159
542,Bengawan Solo,Java Sea,Oceania,15769,0.047,12468726,214236,724,104,154
834,Don,Black Sea,Asia,434700,0.03,18701952,204728,669,97,144
381,Thai Binh,South China Sea,Asia,13173,0.09,6067166,199184,638,93,139
534,Citarum,Java Sea,Oceania,6680,0.047,11466460,197016,626,91,137
545,Porong,Java Sea,Oceania,11079,0.047,11143474,191466,595,87,131
1281,Mississippi,Gulf of Mexico,North America,3183253,0.007,76749197,187183,572,84,127
661,Oueme,Gulf of Guinea,Africa,59657,0.058,8245384,173198,499,75,114
333,Oujiang,East China Sea,Asia,17180,0.092,5002466,167827,473,71,109
946,Rhine,North Sea,Europe,162207,0.009,49137205,167825,473,71,109
339,Jinjiang,East China Sea,Asia,5592,0.092,4835719,162232,446,68,104
287,Yalujiang,Yellow Sea,Asia,62295,0.074,5850667,158909,430,66,101
802,Asi,Mediterranean,Eurasia,23630,0.095,4386593,152783,401,62,96
377,Jianjiang,South China Sea,Asia,8935,0.092,4458423,149575,387,60,93
54,"Grijalva, Usumacinta",Gulf of Mexico,North America,123226,0.051,7995016,149057,384,59,92
460,Kalu Ganga,Indian,Asia,2929,0.299,1350718,147529,377,58,91
285,Dalinghe,Yellow Sea,Asia,23476,0.092,4349329,145915,370,57,90
85,Motagua,Caribbean,North America,16271,0.104,3826484,144841,365,57,89
674,Sassandra,Gulf of Guinea,Africa,75015,0.082,4663817,139119,341,53,84
294,Taedong,Yellow Sea,Asia,19421,0.048,7827066,137469,333,52,83
343,Jiulongjiang,South China Sea,Asia,13795,0.092,4082694,136969,331,52,82
671,Bandama,Gulf of Guinea,Africa,98836,0.086,4358161,136066,328,52,81
453,Deduru Oya,Indian,Asia,3459,0.299,1233904,134771,322,51,80
954,Vistula,Baltic Sea,Europe,192237,0.016,23306051,133616,317,50,79
689,Shebelle,Indian,Africa,742115,0.019,19096157,133365,316,50,79
508,Musi,Karimata Strait,Oceania,54605,0.047,7637364,131224,308,49,77
617,Chéliff,Mediterranean,Africa,44437,0.086,4152002,130543,305,48,77
406,Pampanga,South China Sea,Oceania,9454,0.062,5303401,119714,262,42,68
668,Agneby,Gulf of Guinea,Africa,10956,0.086,3785818,118217,257,42,67
373,Nanliujiang,South China Sea,Asia,9242,0.092,3495422,117267,253,41,66
623,Sebou,Atlantic,Africa,37803,0.049,6481488,116166,249,41,65
456,Maha Oya,Indian,Asia,1509,0.299,1032712,112796,236,39,63
639,Sine,Atlantic,Africa,32803,0.086,3556451,111516,232,38,62
748,Save,Indian,Africa,102295,0.087,3357019,106027,212,35,57
427,Cauweri,Bay of Bengal,Asia,78063,0.009,31342715,100270,192,32,53
383,Mahanadi,Bay of Bengal,Asia,135158,0.009,31202226,99821,191,32,53
664,Osse,Gulf of Guinea,Africa,14039,0.085,3192031,98918,188,32,52
1305,Orinoco,Atlantic,South America,934340,0.023,11667113,95830,178,30,50
771,Tugela,Indian,Africa,29154,0.134,1957958,95587,177,30,50
100,Lempa,Pacific,North America,17997,0.057,4546162,94758,174,30,49
386,Ma,South China Sea,Asia,29513,0.087,2954523,93803,171,29,48
